question,answer,document
创业板交易新规中，对首次公布发行上市的股票的涨跌幅限制是？,1、首次公开发行上市的股票，上市后的前5个交易日不设价格涨跌幅限制；之后的交易日涨跌幅比例为20%，超过涨跌幅限制的申报为无效申报；,chuangyeban_json_csv
交易创业板股票需开通权限吗？,需要。交易创业板股票需要开通创业板交易权限。,chuangyeban_json_csv
个人投资者首次开通创业板权限的渠道有哪些？,满足创业板权限开通的条件，可账户本人在交易日9:00-16:00带有效二代身份证（港澳台客户需携带的是开户时证件）到就近营业部开通交易权限，请您提前与就近营业部联系。可通过以下渠道开通（支持7*24小时）：年龄在70周岁以下（不含），满足创业板开通条件的个人投资者（含港澳台、外国客户），可通过以下方式开通：1、手机软件：我的—开通创业板；手机软件（V8.0前版本）：我的—我的业务办理—开通创业板；手机软件（v8.0及以上版本）：我的—全部业务—开通创业板；2、电脑软件（新版）：我的—业务办理—开通创业板；3、网上营业厅：业务办理首页—开通创业板；4、微证券：我的—业务办理—创业板权限（仅适用微证券绑定客户）。以上渠道支持7*24小时，根据系统提示操作。满足开通条件的个人投资者，在线签署《深圳证券交易所创业板投资风险揭示书》和《金融产品或服务适当性评估结果确认书》（专业投资者，则无需签署），提交申请后，页面会展示创业板开通结果。,chuangyeban_json_csv
有效竞价范围是指？,有效竞价范围（即申报价格无限制，竞价范围有限制）,Agujiaoyi_json
可以通过什么方式进行新股询价？,1）手机软件（V8.10及以上版本）：交易—北交所交易—新股询价—新股询价列表；2）电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股询价。在询价列表中，选择可询价的股票，在询价区间内，输入有效的询价价格和询价数量。若当天有多只北交所新股发行，满足网下询价的条件，可同时对多只北交所新股进行网下询价。每个投资者仅能使用一个证券账户对同一只股票询价一次，且每次仅能填写一个价格，同一网下投资者全部报价中的不同拟申购价格不得超过3个，如对同一只股票使用多个证券账户申报，或使用同一个证券账户申报多次的，且报价均为有效报价，则以最后一笔申报为准。,beijiaosuo_json_csv
机构投资者的普通账户权限取消的取消渠道是？,机构代理人在交易日9:00-15:00带齐有效开户证件到就近营业部办理，机构户所需资料请提前咨询营业部。,chuangyeban_json_csv
如何通过北交所查询询价结果？,3）北交所：北交所披露的《发行公告》会披露每位网下投资者的报价情况、有效报价配售对象名单以及确定原则等。,beijiaosuo_json_csv
创业板交易的旧规规定的报价方式有？,无盘后定价交易,chuangyeban_json_csv
广告投放结束后，需要汇总发送办公室品牌管理岗备案的材料有哪些？,广告投放过程中应注意留痕，投放结束后将投放情况（包括不限于照片、录音等能证明投放情况的留痕文件）汇总发送给办公室品牌管理岗备案,xingzheng_json
网下新股申购是否需要开通对应板块？,网下新股申购时，无需开通对应板块（如科创板、创业板）权限,Aguxingu_json_csv
办理收文的流程、步骤是？,"流程、步骤：收到外单位来文，需要第一时间（一般文件24小时内，急件即时移交）交部门来文岗（或综合岗），或直接给总裁办公室联系人（来文处理岗，邮箱：zcbgs@cmschina.com.cn,rencl@cmschina.com.cn）.收文后通过公司来文流程流转，仅总裁办公室来文岗可以作为流程发起人；员工应及时查看OA首页——“我的工作”——我的“待办”或“待阅”，按要求处理文件，处理规范详阅来文流程单左上角红色文字“来文流程操作指引”及公司制度《收文管理办法》。如仍有不明，也可以打电话至83081060联系。",xingzheng_json
上交所的收拾阶段时间段是？,17：30--08：5008：50--09：1515：00—17：30,Agujiaoyi_json
创业板股票什么情况下会对其实行交易类强制退市风险警示？,创业板上市公司出现下列情形之一的，深交所可以决定终止其股票上市交易：1、连续一百二十个交易日通过本所交易系统实现的股票累计成交量低于200万股；2、连续二十个交易日每日股票收盘价均低于1元；3、连续二十个交易日每日股票收盘市值均低于3亿元；4、连续二十个交易日每日公司股东人数均少于400人；5、本所认定的其他情形。,chuangyeban_json_csv
媒体发布宣传稿件适用于哪些制度？,适用制度：《品牌管理办法》、《声誉风险管理办法》、《媒体危机管理办法》,xingzheng_json
注册制创业板股票能否作为股票质押回购及约定购回交易标的证券？,首次公开发行上市的注册制创业板股票，暂不作为股票质押回购及约定购回交易标的证券。其他创业板股票可以继续作为股票质押回购及约定购回交易标的证券。,chuangyeban_json_csv
涨跌幅限制价格的计算公式为？,涨跌幅限制价格的计算公式为：涨跌幅限制价格=前收盘价×(1±涨跌幅限制比例)。,Agujiaoyi_json
创业板股票实施风险警示有哪些类型？,创业板风险警示（适用核准制+注册制创业板股票）分为退市风险警示和其他风险警示。上市公司存在触及财务类、规范类、重大违法类强制退市情形的股票会实施退市风险警示。[备注]退市风险警示自2020年6月12日起实施；其他风险警示自2020年9月12日起实施。,chuangyeban_json_csv
在满足网下申购条件的情况下，网下申购时间是？,满足北交所新股网下申购条件，可在申购日8:45-15:00（中午可正常委托）操作北交所新股网下申购。,beijiaosuo_json_csv
收盘价是确认？,1、深交所：证券的收盘价通过集合竞价的方式产生。收盘集合竞价不能产生收盘价或未进行收盘集合竞价的，以当日该证券最后一笔交易前一分钟所有交易的成交量加权平均价（含最后一笔交易）为收盘价。当日无成交的，以前收盘价为当日收盘价。2、上交所：证券的收盘价通过集合竞价的方式产生。收盘集合竞价不能产生收盘价或未进行收盘集合竞价的，以当日该证券最后一笔交易前一分钟所有交易的成交量加权平均价（含最后一笔交易）为收盘价。备注：2018年8月20日前，证券的收盘价为当日该证券最后一笔交易前一分钟所有交易的成交量加权平均价（含最后一笔交易）。当日无成交的，以前收盘价为当日收盘价。,Agujiaoyi_json
创业板交易新规中，接受委托的时间内，未成交的申报是否可以撤销呢？,4）接受委托的时间内，未成交的申报可以撤销。撤销指令经深交所确认方为有效。,chuangyeban_json_csv
网上申购北交所新股时，需要缴纳其他费用吗？,北交所新股网上申购无费用。,beijiaosuo_json_csv
预约打新的新股申购后有消息提醒吗？,有。您先设置预约打新提醒功能，通过手机软件：我的—设置—提醒设置—打新进度，打开“允许接收”选项；或者交易—普通—新股申购—提醒设置—“预约打新提醒”选项打开，当您的委托报送成功或申购失败，均有消息提醒。相关截图请点击右侧“详情”查看。,yuyuedaxin_json_csv
可以多个账户参与北交所新股网下询价吗？,不可以。每个投资者仅能使用一个证券账户对同一只股票询价一次，且每次仅能填写一个价格，如对同一只股票使用多个证券账户申报，或使用同一个证券账户申报多次的（最多2次重报机会，即申报3个不同的价格），且报价均为有效报价，则以最后一笔有效申报为准。,beijiaosuo_json_csv
黑名单的处罚时长由什么决定？,配售对象一个自然年度内出现上述违规情形一次的，协会将其列入黑名单六个月；出现上述违规情形两次（含）以上的，协会将其列入黑名单十二个月。配售对象在沪深交易所新股（主板、创业板、科创板）、新债、北交所新股的违规次数合并计算。配售对象被列入黑名单期间不得参与沪深交易所新股（主板、创业板、科创板）、新债及北交所公开发行项目的网下询价及申购。,beijiaosuo_json_csv
沪市的收盘集合竞价时间是？,收盘集合竞价时间为14:57至15:00。,Agujiaoyi_json
软件每天都可以查询到新股的申购额度吗？,可以。我司系统不区分当天是否有A股新股发行，每日交易时间内都可以通过系统查到新股申购额度，该额度均按T-2日前20个交易日，含T-2日，日均持有对应市场的市值计算。,Aguxingu_json_csv
在其他券商已申请网下申购新股的CA证书，在我司需要重新申请吗？,不需要。申购A股新股的CA证书在一个券商申请后，无需再通过其他券商再次申请，您可在我司直接使用。,Aguxingu_json_csv
未开通创业板权限能否申购和交易创业板债券？,能。未开通创业板权限，但开通了可转债交易权限您可以参与（核准制＋注册制）创业板可转债、可交换债、私募债的申购和交易。但是操作债转股需要开通创业板权限。,chuangyeban_json_csv
普通账户权限开通需要满足哪些条件呢？,交易深圳市场创业板（即30开头）的股票，需在深A的股东代码下开通创业板交易权限。,chuangyeban_json_csv
同一日中签多只新股/新债，可以提前锁定其中一只新股/新债的资金吗？,不可以。同一日中签多只A股新股/新债，系统不能选择提前锁定其中一只新股/新债的资金。1、同一日内有多只新股、可转债、可交换债进行认购的，优先进行新股缴款，再进行可转债、可交换债的申购缴款；2、同一账户，同一天中签多只新股，会根据中签的缴款金额进行排序，优先对缴款金额由小到大的原则为其进行中签缴款；3、同一日内有多只可转债、可交换债进行认购的，先按中签缴款金额的总数由小到大、再按证券代码（即发债申购代码）从大到小进行缴款。,Aguxingu_json_csv
集合竞价期间，未匹配量是指？,未匹配量是指在虚拟开盘价格上不能虚拟成交的买方或卖方申报剩余量。,Agujiaoyi_json
系统自动报送新股申购后是否会有消息提醒呢？,有的。您先设置预约打新提醒功能，通过手机软件—我的—设置—提醒设置—打新进度；或者新股申购—提醒设置菜单设置，当您的委托报送成功或申购失败，均有消息提醒。,yuyuedaxin_json_csv
网下新股申购额度计算，深市、沪市是分开计算的吗？,沪深两市分开计算，多个证券账户的市值可合并计算。,Aguxingu_json_csv
如果拒绝接受媒体采访，应由谁帮忙负责解释沟通？,如决定不接受采访，由总裁办代为婉拒记者或作其他沟通解释工作。,xingzheng_json
议题会议材料一般在会前的多长时间内送达给参会人员？,除重要人事任免材料外，相关材料在不泄露商业秘密的前提下，一般应在会议召开前不少于三个工作日送达参会人员；重要人事任免议题材料可在会议召开前两个工作日送达参会人员；,xingzheng_json
如何通过电脑软件（旧版）、电脑软件（新版）经典交易申购普通新股和科创板、创业板新股呢？,电脑软件（旧版）、电脑软件（新版）经典交易：交易—股票—新股—新股申购；以上电脑软件操作一键申购新股时，系统对科创板的新股默认未勾选，需要手动选择。,Aguxingu_json_csv
中签新股未上市前会计算新股申购额度市值吗？,不会。中签已缴款的A股新股未上市前不纳入新股申购额度市值计算，需等新股上市首日有收盘价后才开始计算。,Aguxingu_json_csv
创业板交易的新规规定盘后交易的成交时间是？,（2）成交时间1）每个交易日15:05-15:30；2）当日15:00仍处于停牌状态的股票不进行盘后固定价格交易。（3）买入限价低于收盘价或卖出限价高于收盘价的盘后定价申报无效。（4）盘后定价交易期间，深交所以收盘价为成交价、按照时间优先原则对盘后定价申报进行逐笔连续撮合。盘后定价申报当日有效。,chuangyeban_json_csv
创业板股票盘后固定价格的交易规则是什么？,1、申报时间每个交易日9:15-11:30、13:00-15:30（不支持隔夜委托）。[备注]交易日11:30-13:00期间也可以申报。2、交易时间每个交易日的15:05-15:30。[备注]（1）申报仅当日有效；（2）开市期间停牌的，停牌期间可以继续申报，已接受的申报参加当日复牌后的盘后固定价格交易；（3）当日15:00仍处于停牌状态的股票，委托无效，不进行盘后固定价格交易；（4）信用账户创业板盘后固定价格交易委托仅限担保品买入以及担保品卖出，不包括融资买入、融券卖出、买券还券以及卖券还款等操作。（5）深股通投资者参与创业板股票盘后定价交易相关规定暂不实施，具体请关注深交所公告。3、撤单时间盘后定价申报竞价时间段的撤单时间与深A一致，盘中不会撮合，可以撤单。在接受申报的时间内，未成交的申报可以撤销，撤单实时生效。如未成交的申报未进行撤单，于晚上清算后，资金/股数增加。（1）收盘前的创业板盘后固定价格委托，由于当前阶段无收盘价，委托价格可以根据客户实际意愿填写，交易所不予废单。等待盘后收盘价撮合后确定是否成交；同时收盘后，对于价格不符的委托，交易所也不予废单，客户可自行撤单（15:00-15:30期间均可，实时生效）。（2）收盘后的创业板盘后固定价格委托（15:05-15:30），由于当前阶段已经形成收盘价，委托价格需要优于收盘价（买入方向时高于等于收盘价；卖出时低于等于收盘价），否则交易所在该时间段予以废单处理。15:00-15:05期间的无效委托，在15:05分废单，具体以系统提示为准。4、申报数量（1）买入：单笔买卖申报数量为100股及其整数倍，且不超过100万股。（2）卖出：若单只持仓股数量是100股或其整数倍，也应100股或其整数倍卖出，不能拆分；若单只股票数量有零股（不足100股），可以将零股部分一次性卖出，或将零股部分跟100股或其整数倍部分一并卖出，但不能将零股部分再拆分卖出。5、申报价格盘后定价申报为限价申报，委托价格需要优于收盘价；买入限价＜收盘价或卖出限价＞收盘价的盘后定价申报无效。[举例]假设股票A当日收盘价为10元，小张和小王在规定时间内申报买入的股票A的盘后交易价格分别是9元和11元，能否成交。小张在收盘前以9元申报买入，则买入申报无效；小王的买入申报价为11元，则买入申报有效，进入系统进行撮合交易，最后以10元的价格成交。6、撮合成交原则盘后固定价格交易按时间优先的原则在15:05-15:30期间进行逐笔连续撮合成交，且以当日的收盘价成交，并不会在15:30进行统一撮合。7、行情方面每个交易日9:15至15:05，创业板盘后定价申报不纳入即时行情；每个交易日15:05至15:30，创业板盘后定价申报及成交纳入即时行情。[备注]（1）盘后定价行情包括的内容：证券代码、证券简称、收盘价、盘后定价交易当日累计成交数量、盘后定价交易当日累计成交金额、买入或卖出的实时未申报数量；（2）盘后定价交易成交量、成交金额在盘后定价交易结束后计入该股票当日总成交量、总成交金额；（3）通过盘后定价交易减持股份的，视同通过竞价交易减持股份，需遵循股份减持的相关规定。相关公告请详见：关于发布《深圳证券交易所创业板交易特别规定》的通知http://docs.static.szse.cn/www/lawrules/rule/allrules/bussiness/W020200612831351578076.pdf,chuangyeban_json_csv
普通机构投资者签署风险揭示书的通道有？,普通机构投资者：可通过牛网快速交易通道、智远理财服务平台、智远一户通PC/APP、牛网-私人业务-投资者教育-《风险揭示书》签署、所属营业部现场签署退市整理股票相关《风险揭示书》。,Agujiaoyi_json
公司决策类会议议题包括哪些？（每个小标题）？,如何申报党委会、总裁办公室会等公司决策类会议？,xingzheng_json
可以通过哪些信息预约确认的新股呢？,包括股票名称、申购代码、发行价、申购上限、申购日期等）,yuyuedaxin_json_csv
深B股交易的申报交易价格最小变动单位是？,深B股交易的申报价格最小变动单位为0.01港币,Agujiaoyi_json
申请OA首页滚动播报的流程、步骤是什么？,流程、步骤：新闻报道类：分两种情况已被E报或微刊刊发的：编辑通知作者拟在OA首页轮播→作者提交签报流程→分管领导审批同意→流程抄送彭枫、毕晓彤、任松岭→由任松岭挂出未刊登的：作者撰稿→发给任松岭（E报）或罗智子（微刊）编辑反馈→作者发起签报流程→分管领导审批→流程抄送彭枫、毕晓彤、任松岭→由任松岭挂出非新闻类宣传页面链接：需求人准备好banner图片和链接地址→提交签报流程→由本部门（指一级部、业务总部）负责人审批→流程抄送彭枫、毕晓彤、任松岭→由任松岭挂出,xingzheng_json
上交所的收盘集合竞价时间段如何处理申购委托？,接受并处理,Agujiaoyi_json
新股预约打新的记录可以通过哪些渠道进行查询？,预约打新记录可以通过手机软件普通交易—新股申购/智能下单—预约打新查看预约记录，可点击单只新股，进入查看预约详情。若该笔申购已经申报，也可通过委托记录查询。,yuyuedaxin_json_csv
关于客户咨询我司作为主承销商网下打新的相关事宜处理？,若客户来电咨询我司主承销的网下新股申购的相关事宜，请详细记录客户信息（按照提交工单的要素）、咨询的问题反馈至工单对口人。,Aguxingu_json_csv
制度类发文流程、步骤是？,申请人发起发文流程，请务必选择“制度”发文，审批环节如下：填写申请单→合规专员审批、文稿审核→部门领导审批→制度立项审查、ISO审查→会签（如申请人选择了会签部门）→答复会签意见→合规风控稽核审查→答复内控部门会签意见→主办部门领导审批确认→公示→核稿→公司领导审批→排版→校对→文件制作→文件发布→文件发布复核→领取文件,xingzheng_json
北交所新股申购比例配售什么意思？,当北交所新股网上有效申购总量大于网上发行数量的，根据网上发行数量和有效申购总量的比例计算各投资者获得配售股票的数量。其中不足100股的部分，汇总后按申购数量优先、数量相同的时间优先原则向每个投资者依次配售100股，直至无剩余股票。举例：假设北交所新股中签率为10%：如果投资者A上午10点申购1800股，按比例获配180股，但80股为零股，所以先给投资者A100股，80股先放到一边。如果投资者B上午9点45分申购1600股，按比例获配160股，但60股为零股，所以先给投资者B100股，60股先放到一边。如果投资者C上午9点30分申购1600股，按比例获配160股，但60股为零股，所以先给投资者C100股，60股先放到一边。投资者A、B、C的所有零股汇总，80股+60股+60股=200股，按申购数量优先、数量相同的时间优先原则，依次给投资者A、投资者C各配售100股。,beijiaosuo_json_csv
网下申购规则是？,（2）网下申购规则对于同一只股票发行，已参与网下发行的配售对象及其关联账户，不得再参与网上申购。,beijiaosuo_json_csv
其他风险警示从哪一天开始实施？,其他风险警示（2020年9月12日起实施）,chuangyeban_json_csv
申购沪市（ST、*ST股票）签署的风险揭示书的有效期是多久？,一直有效,Agujiaoyi_json
什么时间会公布北交所新股配售的结果？,T日网上/网下申购北交所新股，T+3日公布新股配售结果。,beijiaosuo_json_csv
申购数量可以自行输入吗？,可以。您可以自行输入新股的申购数量，但不能超过该只新股的申购上限，若自行输入数量小于申购当日的实际最大可申购数量，系统仍按照您设置的申购数量进行申报。,yuyuedaxin_json_csv
操作A股新股申购是否要收费？,不需要。操作A股新股申购不需要收费。,Aguxingu_json_csv
已中签但是放弃缴款，是否可以从我司委托管（转出）或撤指定新股？,T日申购，T+2日放弃缴款，T+3日起可办理。,Aguxingu_json_csv
未在规定时间内提交报送材料的，应该如何操作才能予以受理呢？,未按规定时间及要求报送的，党委办公室、总裁办公室不予受理。特殊情况，由主办部门分管领导向党委办公会、总裁办公会的会议主持领导汇报，获得批准后可予以受理。,xingzheng_json
北交所新股定价方式有哪几种？,自主选择竞价、直接定价、网下询价,beijiaosuo_json_csv
给企业号投稿相关事宜的经办人/联系方式是？,经办人/联系方式：企业文化管理岗罗智子/0755-83081614,xingzheng_json
